News_Source,Bias,Reporting,Country,Credibility,Media_Type,Traffic,Popularity_Estimate,link
Alabama Political Reporter,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/alabama-political-reporter/
Altermed Zentrum,Conspiracy-Pseudoscience,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/altermed-zentrum-bias/
Alternative Science,Satire,,United States,N/A,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alternative-science/
Alternative Facts,Satire,,United States,N/A,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alternative-facts/
AlternativeNews.com,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alternativenews-com/
Alternet,Left,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/alternet/
AltHealth Works,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/althealth-works/
AltLeft.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/altleft-news-bias/
Alt News,Left,High,India,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/alt-news/
AltNewsMedia.net,Right,Mixed,United Kingdom,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/altnewsmedia-net/
Alabama Today,Right-Center,Mostly Factual,United States,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alabama-today/
Alt-Right TV,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alt-right-tv/
American Medical Association (AMA),Pro-Science,High,United States,High Credibility,Organization/Foundation,High Traffic,High Traffic,https://mediabiasfactcheck.com/american-medical-association-ama/
AMAC (Association of Mature American Citizens),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/amac-association-of-mature-american-citizens/
Amarillo Globe-News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/amarillo-globe-news/
AmericaBlog,Left,High,United States,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/americablog/
The America First Policy Institute,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-america-first-policy-institute-afpi-bias/
America Magazine,Left-Center,High,United States,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/america-magazine/
America Max News,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/america-max-news/
American Action Forum,Right-Center,Mostly Factual,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-action-forum/
American Action News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-action-news/
American Affairs Journal,Right-Center,High,United States,High Credibility,Journal,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-affairs-journal/
American Bridge 21st Century,Left,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-bridge-21st-century/
American Catholic Tribine,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-catholic-tribune-bias/
American Consequences,Right,Mixed,United States,Medium Credibility,,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-consequences/
American Conservative Movement (ACM),Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-conservative-movement-acm/
American Digital News,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-digital-news/
Center of the American Experiment,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/center-of-the-american-experiment/
American Firearms Institute,Right-Center,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-firearms-institute/
American Free Press,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-free-press/
American Gulag,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-gulag/
American Heritage,Least Biased,High,United States,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-heritage/
American Immigration Council,Left-Center,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-immigration-council/
The American Independent,Left,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-independent-institute/
American Journal Daily,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-journal-daily-bias/
American Liberty Report,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-liberty-report/
American Lookout,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-lookout/
American Military News,Right-Center,Mostly Factual,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-military-news/
The American Mind,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-american-mind/
American Oversight,Left,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-oversight/
American Partisan,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-partisan-bias/
American Patriot Daily,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-patriot-daily/
American People Daily,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-people-daily/
American Policy Center,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-policy-center/
American Press Institute (API),Least Biased,Very High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-press-institute-api/
American Principles Project,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-principles-project/
Center for American Progress,Left,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/center-for-american-progress/
American Public Media,Left-Center,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-public-media/
American Purpose,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-purpose/
American Scientist,Pro-Science,Very High,United States,High Credibility,Magazine,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-scientist/
Americans for Prosperity,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/americans-for-prosperity/
Americans for Truth,Questionable Sources,Very Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/americans-for-truth-aftah/
American Thinker,Questionable Sources,Low,United States,Low Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/american-thinker/
America Out Loud,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/america-out-loud/
America Rising PAC,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/america-rising-pac/
Americas Freedom Fighters,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-freedom-fighters/
America's Frontline Doctors,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/americas-frontline-doctors/
America's Last Line of Defense,Satire,,United States,N/A,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-resistance-the-last-line-of-defense/
America's News Source,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/americas-news-source/
Americas Quarterly,Right-Center,High,United States,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/americas-quarterly/
Real America's Voice,Right,Mixed,United States,Medium Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/real-americas-voice/
America's Voice,Left,Mostly Factual,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/americas-voice/
Ames Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/ames-today-bias/
Ames Tribune,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/ames-tribune-bias/
American Media Group - AMG-News,Conspiracy-Pseudoscience,Very Low,Romania,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/amg-news/
American Greatness,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-greatness/
Ami Magazine,Right,Mostly Factual,United States,Medium Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/ami-magazine/
Ammoland,Right,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/ammoland/
Amnesty International,Left-Center,High,United Kingdom,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/amnesty-international/
AM New York,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/am-new-york/
Amoskeag Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/amoskeag-times-bias/
American Renaissance Magazine,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-renaissance-magazine/
Alternative Media Television (AMTV),Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alternative-media-television-amtv/
Analyzing America,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/analyzing-america/
Young Conservatives,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/young-conservatives/
Anchorage Press,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/anchorage-press-bias/
Ancient Code,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/ancient-code/
Ancient Origins,Conspiracy-Pseudoscience,Mixed,Ireland,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/ancient-origins/
Andalusia Star News,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/andalusia-star-news-bias/
Anderson Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/anderson-reporter/
Amdover Advertiser,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/andover-advertiser-bias/
Andover Townsman,Left-Center,,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/andover-townsman-bias/
Anewspost.com,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/anewspost-com/
Angry White Men,Left,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/angry-white-men/
Angus Reid Institute,Right-Center,High,Canada,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/angus-reid-institute/
Alliance for Natural Health (ANH-USA),Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alliance-for-natural-health-bias-junk-science/
Ann Arbor Times,Questionable Sources,High,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/ann-arbor-times-bias/
Anne Arundel Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/anne-arundel-today-bias/
Anniston Star,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/anniston-star/
