veracity,Claim_by,Claim
BLATANT LIE,Claim by Stew Peters, Complications From Covid-19 Vaccinations Are Causing US Military Pilots to Crash And Navy and Marine Corps Aircraft Have Been Grounded
MOSTLY TRUE,Claim by Tim Ryan (D), “I voted with Trump on trade.”
BLATANT LIE,Claim by newspunch.com, Bill Gates Caught Admitting Climate Change Is WEF Scam to Inner Circle.
BLATANT LIE,Claim by Restoration PAC, Says Mandela Barnes supports killing “preemies” – “infants born prior to 37 weeks of pregnancy”
FALSE,(International, The spread of COVID-19 in New Zealand was due to people getting vaccinated.
FALSE,Claim by Sen. Rick Scott (R)," Vice President Kamala “Harris said yesterday that — or day before yesterday — that, you know, if you have a different skin color, you’re going to get relief.”"
BLATANT LIE,"Claim by Donald Trump, social media users"," Barack Obama took 33 million documents, many of which are classified, to Chicago."
MOSTLY TRUE,Claim by Alex Mooney (R)," “There have now been 16 straight months of OVER 150,000 illegal border crossings.”"
BLATANT LIE,Claim by Viral post," Doug Mastriano said, Iranian President Ali Khamenei has the right idea of how Women should be treated."
BLATANT LIE,Claim via Social Media, Hurricane Ian was orchestrated as part of a pandemic-related conspiracy to devastate Floridians.
FALSE,(International," “U.S. officials continue to escalate the situation, intimidating the American and international public with sham Russian ‘nuclear threats.’ ”"
BLATANT LIE,Claim by Social media posts, A French life insurance company refused to pay benefits for a man who died after receiving the vaccine because the insurer deemed it “a medical experiment.”
BLATANT LIE,Claim via Social Media, 2nd Plane To Hit World Trade Center Was Military Plane.
FALSE,Claim via Social Media," “North Korea sent more than 100,000 troops to Russia for the Ukraine War!”"
BLATANT LIE,Claim via Social Media, Ivanka Trump and Jared Kushner Earned 640 million at White House Jobs.
MISLEADING,Claim by Benny Johnson (R), Joe Biden said “get vaccinated” to prepare for hurricanes.
FALSE,(International, Polio is present in every sewerage system.
MOSTLY TRUE,Claim by Yuh-Line Niou (D), Sen. Marco Rubio and U.S. Rep. Ron DeSantis “voted against aid for Hurricane Sandy.”
BLATANT LIE,Claim via Social Media," Solfeggio frequencies can regenerate the body, remove toxins, remove negativity"
FALSE,Claim by Newt Gingrich (R), Newt Gingrich claims John Fetterman tattoos praise heroin and LA gang.
BLATANT LIE,Claim by dailysceptic.org," Vaccination Increases Infection Risk by 44%, Oxford Study Finds – The Daily Sceptic"
FALSE,Claim via Social Media, “Jeffrey Epstein’s lawyer became a federal judge” and “was the person to sign off on the Mar-a-Lago search warrant.”
FALSE,(International, Trudeau drops COVID Vaccine Mandate because 9 in every 10 Covid-19 Deaths have been among the Triple/Quadruple Vaccinated
MOSTLY FALSE,Claim by Herschel Walker (R)," Raphael Warnock “called police thugs, then cut their funding.”"
BLATANT LIE,Claim via Social Media and Dr. Robert Young, Scanning Transmission Electron Microscopy Reveals Graphene Parasites in CoV 19 Vaccines
MISLEADING,Claim by Michigan Families United," “Under Gretchen Whitmer, the radicals want a drag queen in every classroom, indoctrinating our children.”"
BLATANT LIE,Claim via Social Media, Fluoride Reduces Children’s IQ”
FALSE,Claim by Mandela Barnes (D), “Ron Johnson has voted against funding for law enforcement and recently opposed a plan to recruit and train new officers “
FALSE,(International, Italians taking down EU flag in 2022.
FALSE,Claim via Social Media, “Pelosi’s panel ready to arrest Trump.”
BLATANT LIE,Claim by Tucker Carlson, Hospitals forced the vaccination of millions of children for COVID-19 and are now trying to normalize a rare side effect.
MISLEADING,Claim by Everytown for Gun Safety Victory Fund," Sen. Ron Johnson voted “against funding for the police, preventing local departments from hiring more officers.”"
BLATANT LIE,Claim by Viral Video, Melania and Donald Trump are getting divorced.
BLATANT LIE,Claim via Social Media, GM and Ford vehicles sent to Ukraine were funded with Americans’ “tax dollars.”
FALSE,(International," “[T]he Iran police publish[ed] a videoclip show[ing] that her [Mahsa Amini’s] death was due to a heart attack, proving the false news broadcasted [sic] by the Western media and the anti-Iranian press.”"
MOSTLY TRUE,Claim by Cindy Axne (D), “I was named Iowa’s most bipartisan member of Congress by @TheLugarCenter.”
BLATANT LIE,Claim via Social Media," intravenous vitamin c alternative to chemotherapy, kills cancer."
FALSE,Claim via Social Media, Judiciary Democrats just voted to support non-citizens voting in our elections.”
BLATANT LIE,Claim via Social Media, blood supply is contaminated by vaccinated blood.
BLATANT LIE,Claim by Tim Michels (R)," “You know how many convicted felons Scott Walker let out during his eight years early on parole? Zero. Tony Evers is approaching 1,000 of these that he’s let out early.”"
FALSE,(International, Study prepared for the Liberal Party of Canada finds 6 times more vaccinated people are in ICU
MOSTLY TRUE,Claim by Joe Biden (D), Says Ron Johnson “wants to put Social Security and Medicare on the chopping block every single year.”
BLATANT LIE,Claim via Social Media, Aluminum Foil Causes Deadly Diseases.
FALSE,Claim by Illinois Family Action, Democratic Illinois Gov. J.B. Pritzker and Illinois Democrats voted to “eliminate all restrictions on abortions up until the day of birth.”
MISLEADING,Claim via Social Media, A bill proposed by Republican Liz Cheney and Democrat Zoe Lofgren that passed the House of Representatives on Sept. 21 would automatically bar former U.S. President Donald Trump from being re-elected president.
BLATANT LIE,Claim by Video, claims Sen. Ted Cruz said Dr. Anthony Fauci should be ‘locked up’ for committing perjury
FALSE,(International," Under the government’s new energy support package nobody is having to pay more than £2,500 on their bills."
MISLEADING,Claim by Joe Biden (D), The American Rescue Plan “literally turned the economy from one that was in decline to one that’s in recovery.”
BLATANT LIE,Claim by Post, claims that former President Donald Trump told his supporters to boycott the 2022 midterm elections because the Department of Justice (DOJ) is treating him unfairly.
FALSE,Claim by cureus.com, The regular use of ivermectin as prophylaxis for COVID-19 result in up to a 92% reduction in the disease’s mortality rate and also reduces infection and hospitalization?
BLATANT LIE,Claim by the Gateway Pundit, “The FDA hid the evidence that HCQ [hydroxychloroquine] was effective in the early treatment of the disease. Hundreds of thousands of people died as a result of this lie.”
FALSE,Claim by Sen. Marsha Blackburn (R), The “Inflation Reduction Act” will reduce energy production.
FALSE,(International, Russian airlines ordered to stop selling tickets to Russian men aged 18 to 65.
FALSE,Claim by Senate Leadership Fund and Our American Century, Congressional Democrats gave the IRS funding that would allow it to “extract” $20 billion in “higher taxes” from “lower- and middle-income families.”
BLATANT LIE,Claim via Social Media, Senator Ted Cruz Said He Has Hunter Biden’s Laptop Files.
MOSTLY FALSE,Claim via Social Media, “Lifeguard/football player Joe Biden got five draft deferments for asthma during Vietnam.”
BLATANT LIE,CLAIM, Humans and other mammals injected with an mRNA vaccine die within five years.
FALSE,Claim by Joe Biden (D), The 3.7% unemployment rate is “nearly a 50-year low in our country.”
FALSE,(International," One in five Britons are resorting to ‘DIY dentistry’ due to a drought of NHS dental appointments, according to a recent poll."
MOSTLY FALSE,Claim by Catherine Cortez Mastro (D), Adam Laxalt took “campaign cash” from drug companies “and used his office to block local attempts at holding one of the worst offenders accountable.”
MISLEADING,Claim by Joe Biden (D)," “By the way, we’ve also … reduced the deficit by $350 billion my first year. This year, it’s going to be over $1.5 trillion, reduced the debt.”"
FALSE,Claim by Mark Finchem (R)," Ballot harvesting “altered the outcome” of a city council election in Yuma County, Arizona."
BLATANT LIE,Claim via viral video and Donald Trump, A president of the United States can declassify documents and information by simply saying “it’s declassified” or just by “thinking about it.”
FALSE,Claim by Ron Johnson (R), Democratic Senate candidate Mandela Barnes wants to “double your income taxes.”
FALSE,(International, “It is not our plan to occupy the Ukrainian territory. We do not intend to impose anything on anyone by force.”
MOSTLY TRUE,Claim by Mandela Barnes (D), Says under his plan to end cash bail “the Waukesha perpetrator wouldn’t have been released “
BLATANT LIE,Claim by Viral Video, Ron DeSantis confronted Hunter Biden in Florida.
MISLEADING,Claim by National Republican Senatorial Committee, Sen. Raphael Warnock of Georgia “voted with Biden to slash Medicare spending.”
FALSE,Claim by The Gateway Pundit and Florida Standard, “Covid-19 Vaccines 98 Times Worse Than the Virus”
FALSE,Claim via Social Media, No Republicans Thanked Biden for Taking Out the Leader of Al Qaeda.
FALSE,(International," The Trilateral Commission, a global membership organization, used actress Dovie Beams to blackmail former president Ferdinand E. Marcos."
MOSTLY TRUE,Claim by Lee Zeldin (R)," Every time a Republican has been elected president over the last few decades, House Democrats have objected to the result."
BLATANT LIE,Claim by Dr. Simone Gold," “children in the UK aged 5-11 will no longer be offered COVID jabs,” due to “concerns” about “developmental side effects in children.”"
MOSTLY FALSE,Claim by Mandela Barnes (D), “Ron Johnson just came out in favor of a federal abortion ban.”
BLATANT LIE,Claim via Social Media, Alzheimers and Dementia Patients ALWAYS Have High Levels Of Aluminum.
FALSE,Claim via Social Media," To qualify for Ohio SNAP benefits, “now a family of 3 can make up to $3,660 a month and it used to be $2,700, so it’s gone up almost $1,000 a month.”"
